Asset ID,Original File,Prepared Source Size,1440p Canvas File,Story Use,Upscaled Foreground File
01_living_organism_flow,5_5_5 INTEVIA The Living Organism Flow(3).png,1055x1491,01_living_organism_flow_canvas_2560x1440.jpg,Meta-arc / Living Organism emergence,01_living_organism_flow_foreground_upscaled.jpg
02_living_organism_system,5_6_5 INTEVIA The Living Organism System(3).png,1122x1402,02_living_organism_system_canvas_2560x1440.jpg,Meta-arc / System organism,02_living_organism_system_foreground_upscaled.jpg
03_discussion_contextual_layer,5_7_5 Discussion as the Contextual Dialogue Layer(3).png,1024x1536,03_discussion_contextual_layer_canvas_2560x1440.jpg,Module layer / Discussion,03_discussion_contextual_layer_foreground_upscaled.jpg
04_engagement_radiance_layer,5_8_5 Engagement as the Radiance Layer(2).png,1024x1536,04_engagement_radiance_layer_canvas_2560x1440.jpg,Module layer / Engagement,04_engagement_radiance_layer_foreground_upscaled.jpg
05_exchange_value_flow_layer,5_9_5 EXCHANGE as the Value-Flow and Sustainability Layer(2).png,1024x1536,05_exchange_value_flow_layer_canvas_2560x1440.jpg,Module layer / Exchange,05_exchange_value_flow_layer_foreground_upscaled.jpg
06_care_global_variables_timed_events,"5_10_7 CARE, Global Variables, and Timed Events(1).png",1024x1536,06_care_global_variables_timed_events_canvas_2560x1440.jpg,Module layer / CARE,06_care_global_variables_timed_events_foreground_upscaled.jpg
07_event_insights,5_5_4 Event Insights.png,1402x1122,07_event_insights_canvas_2560x1440.jpg,Transition / evidence / learning insight,07_event_insights_foreground_upscaled.jpg
08_task_in_intevia,5_6_4 What a Task is in INTEVIA(3).png,1254x1254,08_task_in_intevia_canvas_2560x1440.jpg,Transition / task object,08_task_in_intevia_foreground_upscaled.jpg
09_discussion_integration,5_7_3 Discussion Integration Across the Platform(2).png,1122x1402,09_discussion_integration_canvas_2560x1440.jpg,Integration / Discussion,09_discussion_integration_foreground_upscaled.jpg
10_engagement_integration,5_8_3 Engagement Integration Across the Living Organism.png,1086x1448,10_engagement_integration_canvas_2560x1440.jpg,Integration / Engagement,10_engagement_integration_foreground_upscaled.jpg
11_exchange_integration,5_9_3 Exchange Integration.png,1122x1402,11_exchange_integration_canvas_2560x1440.jpg,Integration / Exchange,11_exchange_integration_foreground_upscaled.jpg
12_hat_convergence,HAT Convergence(1).png,2048x1173,12_hat_convergence_canvas_2560x1440.jpg,HAT / Convergence,12_hat_convergence_foreground_upscaled.jpg
13_hat_workspace,HAT Convergence 2 - human workspace.png,2048x1148,13_hat_workspace_canvas_2560x1440.jpg,HAT / Working screenshot,13_hat_workspace_foreground_upscaled.jpg
14_human_ai_triad_operating_model,Human-AI Triad Operating Model.png,1536x1024,14_human_ai_triad_operating_model_canvas_2560x1440.jpg,HAT / Operating model / big reveal,14_human_ai_triad_operating_model_foreground_upscaled.jpg
15_fedora_profile_star_globe,INTEVIA_fedora_profile_full_res(2).png,1254x1254,15_fedora_profile_star_globe_canvas_2560x1440.jpg,Closing / human-light motif,15_fedora_profile_star_globe_foreground_upscaled.jpg
